time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-09 00:00:00+00:00,9,8,3,3
2025-11-10 00:00:00+00:00,12,11,3,3
2025-11-11 00:00:00+00:00,14,9,7,7
2025-11-12 00:00:00+00:00,17,11,8,8
2025-11-13 00:00:00+00:00,10,10,4,4
2025-11-14 00:00:00+00:00,15,10,2,2
2025-11-15 00:00:00+00:00,13,11,6,4
2025-11-16 00:00:00+00:00,13,13,4,3
2025-11-17 00:00:00+00:00,13,13,4,4
2025-11-18 00:00:00+00:00,20,20,11,8
2025-11-19 00:00:00+00:00,17,17,4,4
2025-11-20 00:00:00+00:00,10,10,7,7
2025-11-21 00:00:00+00:00,11,11,24,6
2025-11-22 00:00:00+00:00,80,76,16,3
