time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-22 00:00:00+00:00,10,8,51,13
2025-06-23 00:00:00+00:00,14,8,269,217
2025-06-24 00:00:00+00:00,17,11,587,577
2025-06-25 00:00:00+00:00,18,10,9,8
2025-06-26 00:00:00+00:00,20,9,18,10
2025-06-27 00:00:00+00:00,19,11,13,7
2025-06-28 00:00:00+00:00,21,15,4,3
2025-06-29 00:00:00+00:00,17,11,7,4
2025-06-30 00:00:00+00:00,17,11,10,8
2025-07-01 00:00:00+00:00,14,8,11,8
2025-07-02 00:00:00+00:00,20,12,7,7
2025-07-03 00:00:00+00:00,20,13,26,17
2025-07-04 00:00:00+00:00,24,16,17,10
2025-07-05 00:00:00+00:00,19,13,9,7
