time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-22 00:00:00+00:00,5,5,10,7
2025-07-23 00:00:00+00:00,18,12,273,268
2025-07-24 00:00:00+00:00,24,17,528,495
2025-07-25 00:00:00+00:00,22,16,9,6
2025-07-26 00:00:00+00:00,20,12,4,4
2025-07-27 00:00:00+00:00,17,11,6,6
2025-07-28 00:00:00+00:00,22,15,10,10
2025-07-29 00:00:00+00:00,21,14,7,6
2025-07-30 00:00:00+00:00,28,19,19,13
2025-07-31 00:00:00+00:00,22,16,8,5
2025-08-01 00:00:00+00:00,34,18,27,6
2025-08-02 00:00:00+00:00,19,19,10,3
2025-08-03 00:00:00+00:00,25,16,8,7
2025-08-04 00:00:00+00:00,19,13,5,5
