time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,52,28,20,8
2026-04-18 00:00:00+00:00,31,20,10,10
2026-04-19 00:00:00+00:00,55,24,8,7
2026-04-20 00:00:00+00:00,58,33,6,6
2026-04-21 00:00:00+00:00,47,24,6,3
2026-04-22 00:00:00+00:00,100,40,2,2
2026-04-23 00:00:00+00:00,88,38,3,3
2026-04-24 00:00:00+00:00,75,33,11,7
2026-04-25 00:00:00+00:00,67,30,3,3
2026-04-26 00:00:00+00:00,30,16,32,4
2026-04-27 00:00:00+00:00,34,25,1,1
2026-04-28 00:00:00+00:00,36,19,8,7
2026-04-29 00:00:00+00:00,45,20,12,10
2026-04-30 00:00:00+00:00,56,27,6,4
