time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-26 00:00:00+00:00,13,12,9,8
2025-09-27 00:00:00+00:00,13,12,5,5
2025-09-28 00:00:00+00:00,32,29,4,4
2025-09-29 00:00:00+00:00,17,17,8,5
2025-09-30 00:00:00+00:00,19,17,17,9
2025-10-01 00:00:00+00:00,12,12,3,3
2025-10-02 00:00:00+00:00,15,15,3,3
2025-10-03 00:00:00+00:00,16,15,9,7
2025-10-04 00:00:00+00:00,16,15,9,9
2025-10-05 00:00:00+00:00,22,20,17,9
2025-10-06 00:00:00+00:00,20,16,12,9
2025-10-07 00:00:00+00:00,30,29,6,6
2025-10-08 00:00:00+00:00,17,16,54,5
2025-10-09 00:00:00+00:00,17,16,6,6
