time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-09 00:00:00+00:00,3,3,9,8
2026-08-10 00:00:00+00:00,10,5,7,7
2026-08-11 00:00:00+00:00,14,14,7,7
2026-08-12 00:00:00+00:00,19,8,3,3
2026-08-13 00:00:00+00:00,3,3,48,15
2026-08-14 00:00:00+00:00,22,10,10,7
2026-08-15 00:00:00+00:00,3,3,5,4
2026-08-16 00:00:00+00:00,3,3,6,3
2026-08-17 00:00:00+00:00,9,8,5,5
2026-08-18 00:00:00+00:00,5,4,30,3
2026-08-19 00:00:00+00:00,5,5,13,8
2026-08-20 00:00:00+00:00,19,15,4,4
2026-08-21 00:00:00+00:00,8,8,2,2
2026-08-22 00:00:00+00:00,10,9,3,3
