time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-08 00:00:00+00:00,9,9,8,6
2025-09-09 00:00:00+00:00,24,21,7,5
2025-09-10 00:00:00+00:00,39,27,10,5
2025-09-11 00:00:00+00:00,30,23,6,5
2025-09-12 00:00:00+00:00,17,16,6,4
2025-09-13 00:00:00+00:00,53,41,8,4
2025-09-14 00:00:00+00:00,41,32,33,6
2025-09-15 00:00:00+00:00,33,30,19,12
2025-09-16 00:00:00+00:00,21,14,6,5
2025-09-17 00:00:00+00:00,20,16,6,5
2025-09-18 00:00:00+00:00,21,20,4,4
2025-09-19 00:00:00+00:00,51,32,7,7
2025-09-20 00:00:00+00:00,26,24,5,3
2025-09-21 00:00:00+00:00,20,15,2,2
